96613 97536
49 208 153
31 118 209
158 227 240
156 168 1
243 141 197
33 234 57
91 96 210
229 160 207
190 13 33
241 81 223
60 65 71
189 165 170
236 191 229
13 163 47
214 191 96
11 40 8
46 134 224
164 171 135
212 70 135
40 48 17
9 56 243
29 138 186
115 248 247
100 213 34
83 33 150
143 51 143
5 41 64
130 198 76
184 127 80
72 238 66
112 227 198
56 196 212
58 5 65
73 215 0
174 98 64
178 38 179
170 91 154
198 95 109
77 151 59
15 86 22
50 155 33
169 200 32
238 167 151
224 81 222
205 211 176
13 171 35
201 107 7
174 41 30
203 136 181
197 115 118
37 239 147
115 132 162
79 47 178
213 226 139
226 245 24
30 28 100
211 179 188
245 137 201
241 114 196
17 63 22
161 244 253
20 82 11
216 14 156
165 78 158
89 68 52
208 248 32
49 166 248
162 65 147
112 234 50
1 138 74
42 203 4
201 31 195
174 162 93
45 238 194
4 66 63
77 136 175
173 25 47
19 90 49
150 132 253
83 45 11
94 115 182
35 219 54
202 62 231
120 84 64
133 198 20
2 209 229
29 208 119
73 87 236
58 158 254
9 111 67
33 208 127
202 36 94
105 122 62
196 61 205
252 134 162
242 188 29
81 76 51
117 151 241
231 111 215
43 182 96
6 251 78
144 45 145
178 189 235
213 187 149
240 226 149
63 131 133
62 211 253
194 10 221
76 80 33
222 113 24
0 203 2
185 244 140
169 7 162
126 163 136
130 242 65
246 95 172
106 191 216
100 23 136
227 72 214
166 69 120
73 163 26
137 164 191
83 3 49
108 51 227
207 209 210
26 111 73
154 11 150
225 205 17
223 221 252
247 118 51
145 126 157
14 71 218
43 76 172
53 7 1
166 43 178
242 235 77
187 27 135
158 72 42
90 25 147
1 151 40
107 56 71
46 175 152
196 255 215
161 62 99
107 5 57
151 137 43
13 203 99
173 101 164
191 218 193
188 117 52
244 29 245
243 166 202
190 129 211
55 232 252
73 203 155
184 46 101
150 186 121
212 169 62
116 94 59
49 65 58
196 183 81
22 84 166
238 145 11
10 178 194
159 159 14
175 217 90
197 215 23
225 110 169
204 14 245
11 252 112
26 212 193
201 240 81
200 145 95
196 212 113
164 224 58
202 204 79
100 44 60
44 79 223
44 137 12
93 39 234
66 213 140
200 170 170
16 16 146
242 58 161
91 248 230
210 251 187
195 233 124
109 213 165
123 244 243
181 170 108
74 62 78
162 216 89
193 155 241
146 241 11
190 106 223
223 185 214
34 180 51
191 98 93
207 128 221
96 4 107
229 121 158
68 95 23
61 196 69
218 212 23
37 27 43
95 161 100
94 47 237
243 93 16
84 60 106
255 180 100
157 237 253
199 99 62
181 114 251
75 119 169
248 224 111
99 194 190
224 201 20
26 158 187
127 28 148
74 230 97
64 63 1
122 50 147
218 107 145
245 82 44
149 71 157
43 14 33
194 201 220
77 28 216
116 73 219
36 98 200
132 231 193
49 109 82
196 31 66
11 49 223
131 169 225
245 3 58
66 151 107
191 213 48
180 170 176
223 177 102
252 245 131
207 120 123
34 182 244
169 219 94
215 112 205
2 154 242
107 77 75
4 253 224
11 179 30
207 144 188
63 36 164
18 35 91
164 91 97
228 1 116
230 165 194
233 112 117
1 125 20
162 106 168
184 108 191
20 153 136
