   a  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  r  s  t  u  v  w  x  y  z
a  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
b  0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
c  0  2  4  6  8 10 12 14 16 18 20 22 24  0  2  4  6  8 10 12 14 16 18 20 22 24 
d  0  3  6  9 12 15 18 21 24  1  4  7 10 13 16 19 22 25  2  5  8 11 14 17 20 23 
e  0  4  8 12 16 20 24  2  6 10 14 18 22  0  4  8 12 16 20 24  2  6 10 14 18 22 
f  0  5 10 15 20 25  4  9 14 19 24  3  8 13 18 23  2  7 12 17 22  1  6 11 16 21 
g  0  6 12 18 24  4 10 16 22  2  8 14 20  0  6 12 18 24  4 10 16 22  2  8 14 20 
h  0  7 14 21  2  9 16 23  4 11 18 25  6 13 20  1  8 15 22  3 10 17 24  5 12 19 
i  0  8 16 24  6 14 22  4 12 20  2 10 18  0  8 16 24  6 14 22  4 12 20  2 10 18 
j  0  9 18  1 10 19  2 11 20  3 12 21  4 13 22  5 14 23  6 15 24  7 16 25  8 17 
k  0 10 20  4 14 24  8 18  2 12 22  6 16  0 10 20  4 14 24  8 18  2 12 22  6 16 
l  0 11 22  7 18  3 14 25 10 21  6 17  2 13 24  9 20  5 16  1 12 23  8 19  4 15 
m  0 12 24 10 22  8 20  6 18  4 16  2 14  0 12 24 10 22  8 20  6 18  4 16  2 14 
n  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13  0 13 
o  0 14  2 16  4 18  6 20  8 22 10 24 12  0 14  2 16  4 18  6 20  8 22 10 24 12 
p  0 15  4 19  8 23 12  1 16  5 20  9 24 13  2 17  6 21 10 25 14  3 18  7 22 11 
q  0 16  6 22 12  2 18  8 24 14  4 20 10  0 16  6 22 12  2 18  8 24 14  4 20 10 
r  0 17  8 25 16  7 24 15  6 23 14  5 22 13  4 21 12  3 20 11  2 19 10  1 18  9 
s  0 18 10  2 20 12  4 22 14  6 24 16  8  0 18 10  2 20 12  4 22 14  6 24 16  8 
t  0 19 12  5 24 17 10  3 22 15  8  1 20 13  6 25 18 11  4 23 16  9  2 21 14  7 
u  0 20 14  8  2 22 16 10  4 24 18 12  6  0 20 14  8  2 22 16 10  4 24 18 12  6 
v  0 21 16 11  6  1 22 17 12  7  2 23 18 13  8  3 24 19 14  9  4 25 20 15 10  5 
w  0 22 18 14 10  6  2 24 20 16 12  8  4  0 22 18 14 10  6  2 24 20 16 12  8  4 
x  0 23 20 17 14 11  8  5  2 25 22 19 16 13 10  7  4  1 24 21 18 15 12  9  6  3 
y  0 24 22 20 18 16 14 12 10  8  6  4  2  0 24 22 20 18 16 14 12 10  8  6  4  2 
z  0 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10  9  8  7  6  5  4  3  2  1 
